Retention (EUR),Expected retained loss,Net VaR 99.5%,Net TVaR 99.5%,Expected ceded (pure premium),Reinsurance premium (loaded),TVaR reduction vs gross %
100000,4624735.642645143,6546931.127186294,7887373.710216429,739868.3886509235,887842.0663811081,20.680808601809392
150000,4873498.737490095,6852255.056067377,8175023.7328791525,491105.2938059709,589326.352567165,17.78806279800338
200000,5009667.542846131,7064455.510406035,8344074.687784674,354936.4884499353,425923.78613992233,16.088005777650785
250000,5094576.590929174,7214259.92513393,8463880.658902006,270027.4403668929,324032.92844027147,14.883179798454089
300000,5151832.517536514,7330022.509224179,8555427.048562532,212771.51375955163,255325.81651146195,13.96254564695053
350000,5192425.715568029,7425092.817715285,8625690.74521639,172178.3157280372,206613.97887364464,13.255940405713794
400000,5222431.217346294,7505976.357402473,8683602.816054177,142172.81394977268,170607.37673972722,12.673549003985485
450000,5245319.812220473,7577173.905641368,8732498.362518093,119284.21907559341,143141.06289071208,12.181832071203806
500000,5263191.776732553,7636564.190085823,8774122.59014609,101412.25456351403,121694.70547621683,11.763238988217195
550000,5277388.3578639375,7682455.467455752,8809828.356342534,87215.67343212894,104658.80811855472,11.404164775810314
600000,5288896.243794849,7728701.948970925,8841565.619199837,75707.78750121697,90849.34500146036,11.084999725500554
650000,5298341.3267693715,7760076.816322864,8869977.43363915,66262.70452669513,79515.24543203415,10.799276970337742
700000,5306165.15861184,7795898.557320552,8895464.69364495,58438.87268422686,70126.64722107223,10.542964929233753
750000,5312746.561680833,7838364.805639729,8919022.072035212,51857.46961523361,62228.96353828033,10.306060697986734
800000,5318334.613631559,7864535.889975904,8941587.420692349,46269.41766450769,55523.30119740922,10.079132790819871
850000,5323113.790556203,7899284.345229043,8963704.033741368,41490.24073986349,49788.288887836185,9.856717582923412
900000,5327210.94735085,7914185.530252039,8984217.582282376,37393.083945216305,44871.70073425957,9.650423556196534
950000,5330754.516968132,7931340.733100525,9003671.26338868,33849.51432793474,40619.41719352169,9.454788061827648
1000000,5333859.770256384,7954389.834946887,9021975.904470108,30744.261039682217,36893.11324761866,9.270707861908587
